Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-03-10,Bills,Cash,Degree later certainly.,2669,160.93
2024-03-11,Gifts,Online,Man figure writer.,4900,0.0
2024-03-16,Groceries,Cash,Suddenly enter partner history piece.,1235,44.39
2024-03-30,Miscellaneous,Online,Season accept real huge.,2886,0.0
2024-03-04,Groceries,Cash,Change moment east note glass.,972,69.32
2024-03-18,Transportation,Cash,Remain score receive son race.,1087,0.0
2024-03-10,Miscellaneous,Online,Up just business admit practice.,1110,0.0
2024-03-09,Miscellaneous,Cash,Him instead front send military.,515,0.0
2024-03-10,Entertainment,Online,Become east beautiful morning move.,2124,160.05
2024-03-24,Transportation,Cash,Let dream.,807,0.0
2024-03-14,Travel,Cash,Drive shake.,4420,134.56
2024-03-15,Travel,Online,Although knowledge better ahead reflect.,12596,1180.85
2024-03-29,Shopping,Online,Study position economic if.,2003,193.08
2024-03-26,Miscellaneous,Cash,Relationship gun.,2441,0.0
2024-03-17,Food,Cash,Become understand.,562,30.68
2024-03-04,Education,Cash,Recent yes marriage different two.,635,0.0
2024-03-23,Groceries,Cash,Hotel somebody.,1675,23.33
2024-03-01,Gifts,Online,Type will fly hard.,3714,0.0
2024-03-05,Education,Online,Realize not somebody garden major.,7564,0.0
2024-03-17,Education,Online,Summer at.,4800,0.0
2024-03-03,Transportation,Cash,Page suddenly role new.,361,0.0
2024-03-27,Miscellaneous,Cash,Cold energy read.,1786,0.0
2024-03-30,Education,Online,Yard how little green.,8353,0.0
2024-03-10,Groceries,Cash,Speak lawyer.,528,20.42
2024-03-07,Transportation,Online,Sing investment American decide strategy.,1292,0.0
2024-03-02,Travel,Cash,Citizen moment price finally.,2400,32.6
2024-03-17,Gifts,Cash,Born amount pull.,1205,0.0
2024-03-11,Groceries,Cash,Catch consider difference finally trip.,1078,84.52
2024-03-07,Education,Online,Without someone season foot.,8861,0.0
2024-03-02,Travel,Cash,Key away past wait.,4265,95.31
2024-03-05,Subscriptions,Cash,Despite message.,458,0.0
2024-03-07,Miscellaneous,Online,Only measure responsibility happen.,565,0.0
2024-03-08,Entertainment,Cash,Hit focus very easy.,1302,25.49
2024-03-07,Education,Cash,Trade special history far film.,510,0.0
2024-03-12,Gifts,Cash,Crime ago discussion turn.,2927,0.0
2024-03-17,Food,Online,Enough company so general.,538,15.55
